date,jeniskantor,namakantor,cabanginduk,alamat,kodepos,operational_hour,telephone,fax,telex,atm,jenis,mapsurl
12-Sumatera-ATM,Kantor Cabang,Bandar Lampung,Bandar Lampung,"Jl. Ikan Tenggiri No. 17/A, Teluk Betung, Bandar Lampung",35223,Beroperasi,(0721) 482982,(0721) 482951,,y,atm,https://goo.gl/maps/8hAHUpfrDQx
12-Jawa Barat-Kantor Wilayah,Kantor Wilayah,Kantor Wilayah 7,Bandung,"Jl. Jend. Sudirman No. 55 A, Bandung",40241,08.30 - 14.30,(022) 4204491,(022) 4238906,,,kantor,https://goo.gl/maps/o6iYJCgf1KR2
12-Jawa Barat-Kantor Cabang,Kantor Cabang,Bandung,Bandung,"Jl. Jend. Sudirman No. 55 A, Bandung",40241,08.30 - 14.30,(022) 4204491,(022) 4238906,28233<br /> 28488<br /> 28675,y,kantor,https://goo.gl/maps/JSkmaQtXA2k
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Achmad Yani,Bandung,"Jl. Jend. Achmad Yani No. 235, Bandung",40271,08.30 - 14.30,(022) 7204952,(022) 7205551  ,,y,kantor,https://goo.gl/maps/xu8ijGoLKEu
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kopo,Bandung,"Jl. Kopo No. 91, Bandung",40234,08.30 - 14.30,(022) 5230030<br />(022) 5204784,(022) 5204784<br />(022) 5227177,,y,kantor,https://goo.gl/maps/rZfu39jjqB82
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Buah Batu,Bandung,"Ruko Buah Batu No.146 A, Jl. Buah Batu No.1, Kel. Cijagra, Kec. Lengkong",40274,08.30 - 14.30,(022) 731 5139,(022) 731 5193,,y,kantor,https://goo.gl/maps/iUdS2hJuddG2
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Cimahi,Bandung,"Jl. Raya  No. 545, Cimahi",40523,08.30 - 14.30,(022) 6649530,(022) 6657013,,y,kantor,https://goo.gl/maps/NGLnnEMjfps
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Sukajadi ,Bandung,"Jl. Sukajadi No. 5, Bandung",40162,08.30 - 14.30,"(022) 2037498<br />
(022) 2039266",(022) 2039266,,y,kantor,https://goo.gl/maps/eZqbV5YQgM22
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Setiabudi,Bandung,"Jl. Dr. Setiabudi No. 146 B, Lingkungan Hegarmanah, Kecamatan Cidadap",40141,08.30 - 14.30,(022) 8206 6033,(022) 8206 6481,,y,kantor,https://goo.gl/maps/tGMsJgR7N862
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Andir,Bandung,"Jl. Jamika No. 19, Bandung",40231,08.30 - 14.30,(022) 602 3509,(022) 607 9274,,y,kantor,https://goo.gl/maps/fBES4J2nYEU2
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kopo Bihbul,Bandung,"Jl. Raya Kopo Bihbul No. 69, Bandung",40228,08.30 - 14.30,(022) 5401131<br />(022) 5420269,(022) 5420466  ,,y,kantor,https://goo.gl/maps/rZ7v36EaoKT2
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pasir Kaliki,Bandung,"Jl. Pasir Kaliki No. 161, Bandung",40173,08.30 - 14.30,(022) 6017027,(022) 3044520,,y,kantor,https://goo.gl/maps/i686ecDm8cE2
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Dago,Bandung,Jl. Ir. H. Juanda No.43 (Dago),40116,08.30 - 14.30,(022) 4261175<br />(022) 4261191,(022) 4267885,,y,kantor,https://goo.gl/maps/q7tfjpCaYvP2
12-Jawa Barat-ATM,Kantor Cabang,Bandung,Bandung,"Jl. Jend. Sudirman No. 55 A, Bandung",40241,Beroperasi,(022) 4204491,(022) 4238906,28233<br /> 28488<br /> 28675,y,atm,https://goo.gl/maps/JSkmaQtXA2k
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Achmad Yani,Bandung,"Jl. Jend. Achmad Yani No. 235, Bandung",40271,Beroperasi,(022) 7204952,(022) 7205551  ,,y,atm,https://goo.gl/maps/xu8ijGoLKEu
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Kopo,Bandung,"Jl. Kopo No. 91, Bandung",40234,Beroperasi,(022) 5230030<br />(022) 5204784,(022) 5204784<br />(022) 5227177,,y,atm,https://goo.gl/maps/rZfu39jjqB82
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Buah Batu,Bandung,"Ruko Buah Batu No.146 A, Jl. Buah Batu No.1, Kel. Cijagra, Kec. Lengkong",40274,Beroperasi,(022) 731 5139,(022) 731 5193,,y,atm,https://goo.gl/maps/iUdS2hJuddG2
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Cimahi,Bandung,"Jl. Raya  No. 545, Cimahi",40523,Beroperasi,(022) 6649530,(022) 6657013,,y,atm,https://goo.gl/maps/NGLnnEMjfps
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Sukajadi ,Bandung,"Jl. Sukajadi No. 5, Bandung",40162,Beroperasi,"(022) 2037498<br />
(022) 2039266",(022) 2039266,,y,atm,https://goo.gl/maps/eZqbV5YQgM22
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Setiabudi,Bandung,"Jl. Dr. Setiabudi No. 146 B, Lingkungan Hegarmanah, Kecamatan Cidadap",40141,Beroperasi,(022) 8206 6033,(022) 8206 6481,,y,atm,https://goo.gl/maps/tGMsJgR7N862
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Andir,Bandung,"Jl. Jamika No. 19, Bandung",40231,Beroperasi,(022) 602 3509,(022) 607 9274,,y,atm,https://goo.gl/maps/fBES4J2nYEU2
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Kopo Bihbul,Bandung,"Jl. Raya Kopo Bihbul No. 69, Bandung",40228,Beroperasi,(022) 5401131<br />(022) 5420269,(022) 5420466  ,,y,atm,https://goo.gl/maps/rZ7v36EaoKT2
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Pasir Kaliki,Bandung,"Jl. Pasir Kaliki No. 161, Bandung",40173,Beroperasi,(022) 6017027,(022) 3044520,,y,atm,https://goo.gl/maps/i686ecDm8cE2
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Dago,Bandung,Jl. Ir. H. Juanda No.43 (Dago),40116,Beroperasi,(022) 4261175<br />(022) 4261191,(022) 4267885,,y,atm,https://goo.gl/maps/q7tfjpCaYvP2
12-Jawa Barat-Kantor Cabang,Kantor Cabang,Bandung Rivai,Bandung Rivai,Jl. Abdul Rivai No. 2 A,40116,08.30 - 14.30,(022) 4209980,(022) 4209970,,y,kantor,https://goo.gl/maps/rCVncPe1nuE2
12-Kalimantan-Kantor Cabang,Kantor Cabang,Banjarmasin,Banjarmasin,"Jl. Lambung Mangkurat No. 17, Banjarmasin, 12-Kalimantan-1987 Selatan",70111,08.30 - 14.30,(0511) 3357172<br />(0511) 3353754<br />(0551) 3365312 ,(0511) 3353305,,y,kantor,https://goo.gl/maps/JRzxd9pmV6A2
12-Kalimantan-Kantor Cabang Pembantu,Kantor Cabang Pembantu,A. Yani ,Banjarmasin,"Jl. Jend. A. Yani KM 2, No. 12 RT 17, Banjarmasin",70249,Tutup Sementara,(0511) 3269525<br />(0511) 3262991,(0511) 3269525,,y,kantor,https://goo.gl/maps/WmMSvRaoqM62
12-Kalimantan-ATM,Kantor Cabang,Banjarmasin,Banjarmasin,"Jl. Lambung Mangkurat No. 17, Banjarmasin, 12-Kalimantan-1987 Selatan",70111,Beroperasi,(0511) 3357172<br />(0511) 3353754<br />(0551) 3365312 ,(0511) 3353305,,y,atm,https://goo.gl/maps/JRzxd9pmV6A2
12-Kalimantan-ATM,Kantor Cabang Pembantu,A. Yani ,Banjarmasin,"Jl. Jend. A. Yani KM 2, No. 12 RT 17, Banjarmasin",70249,Beroperasi,(0511) 3269525<br />(0511) 3262991,(0511) 3269525,,y,atm,https://goo.gl/maps/WmMSvRaoqM62
12-Jawa Timur-Kantor Cabang,Kantor Cabang,Banyuwangi,Banyuwangi,"Jl. Jend. Sudirman No. 16, Banyuwangi, 12-Jawa Timur-1987",68416,08.30 - 14.30,(0333) 426500<br />(0333) 424705<br />(0333) 423061-62<br />(0333) 422270-71<br />(0333) 424070,(0333) 424260,,y,kantor,https://goo.gl/maps/Bz2Gr1eRxDn
12-Jawa Timur-ATM,Kantor Cabang,Banyuwangi,Banyuwangi,"Jl. Jend. Sudirman No. 16, Banyuwangi, 12-Jawa Timur-1987",68416,Beroperasi,(0333) 426500<br />(0333) 424705<br />(0333) 423061-62<br />(0333) 422270-71<br />(0333) 424070,(0333) 424260,,y,atm,https://goo.gl/maps/Bz2Gr1eRxDn
12-Sumatera-Kantor Cabang,Kantor Cabang,Batam,Batam,"Komplek Batam Plaza Blok E No. 1-3, Jl. Imam Bonjol, Batam",29444,08.30 - 14.30,(0778) 459691,(0778) 458601,,y,kantor,https://goo.gl/maps/Xt1M1d3ACEn
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tanjung Uncang,Batam,"Komplek Pertokoan Fanindo Blok A No.9-10, Kel. Tanjung Uncang, Kec. Batu Aji
",29461,08.30 - 14.30,(0778) 743 2468,(0778) 743 2469,,y,kantor,https://goo.gl/maps/VKPds3fwfHq
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Penuin,Batam,"Komplek Pertokoan Citra Mas, Blok A No. 8, Penuin, Kec. Lubuk Baja, Batam",29432,08.30 - 14.30,(0778) 428700,(0778) 452772,,y,kantor,https://goo.gl/maps/Av75fajwBBs
12-Sumatera-ATM,Kantor Cabang,Batam,Batam,"Komplek Batam Plaza Blok E No. 1-3, Jl. Imam Bonjol, Batam",29444,Beroperasi,(0778) 459691,(0778) 458601,,y,atm,https://goo.gl/maps/Xt1M1d3ACEn
12-Sumatera-ATM,Kantor Cabang Pembantu,Tanjung Uncang,Batam,"Komplek Pertokoan Fanindo Blok A No.9-10, Kel. Tanjung Uncang, Kec. Batu Aji
",29461,Beroperasi,(0778) 743 2468,(0778) 743 2469,,y,atm,https://goo.gl/maps/VKPds3fwfHq
12-Sumatera-ATM,Kantor Cabang Pembantu,Penuin,Batam,"Komplek Pertokoan Citra Mas, Blok A No. 8, Penuin, Kec. Lubuk Baja, Batam",29432,Beroperasi,(0778) 428700,(0778) 452772,,y,atm,https://goo.gl/maps/Av75fajwBBs
12-Sumatera-Kantor Cabang,Kantor Cabang,Batam Centre,Batam Centre,"Komplek Mahkota Raya Blok D No. 7 & No. 8, Jl. Engku Putri, Kel. Teluk Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau",29461,08.30 - 14.30,(0778) 7486000,(0778) 7486025,,y,kantor,https://goo.gl/maps/XSmmtzYx9bR2
12-Sumatera-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Bintan,Batam Centre,"Jl. Merdeka No. 6C, Kel. Tanjungpinang Kota, Kec. Tanjungpinang Kota, Kepulauan Riau",29111,08.30 - 14.30,(0771)  314909-10,(0771) 314916 ,,y,kantor,https://goo.gl/maps/fHvo6FoBumx
12-Sumatera-ATM,Kantor Cabang,Batam Centre,Batam Centre,"Komplek Mahkota Raya Blok D No. 7 & No. 8, Jl. Engku Putri, Kel. Teluk Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau",29461,Beroperasi,(0778) 7486000,(0778) 7486025,,y,atm,https://goo.gl/maps/XSmmtzYx9bR2
12-Sumatera-ATM,Kantor Cabang Pembantu,Bintan,Batam Centre,"Jl. Merdeka No. 6C, Kel. Tanjungpinang Kota, Kec. Tanjungpinang Kota, Kepulauan Riau",29111,Beroperasi,(0771)  314909-10,(0771) 314916 ,,y,atm,https://goo.gl/maps/fHvo6FoBumx
12-Sumatera-Kantor Cabang,Kantor Cabang,Bengkulu,Bengkulu,Jl. Let. Jend. Suprapto No. 169-171,38221,08.30 - 14.30,(0736)  21705,(0736) 21110,,y,kantor,https://goo.gl/maps/EbECSuZpXuw
12-Sumatera-ATM,Kantor Cabang,Bengkulu,Bengkulu,Jl. Let. Jend. Suprapto No. 169-171,38221,Beroperasi,(0736)  21705,(0736) 21110,,y,atm,https://goo.gl/maps/EbECSuZpXuw
12-Jabodetabek-Kantor Cabang,Kantor Cabang,Bogor,Bogor,"Jl. Suryakencana No. 260 F, Kel. Gudang, Kec. Bogor Tengah, Kota Bogor
",16151,08.30 - 14.30,(0251) 832 5256,(0251) 832 5307,,y,kantor,https://goo.gl/maps/Nw2fDFpZq2D2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Dewi Sartika,Bogor,"Jl. Dewi Sartika No. 54, RT.03/RW.02, Kel. Pabaton, Kec. Bogor Tengah, Bogor",16121,08.30 - 14.30,(0251) 8311836<br />(0251) 8314257,(0251) 8314933,,y,kantor,https://goo.gl/maps/bov5bBPeYjM2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Cibubur,Bogor,"Ruko Cibubur Times Square Blok B-1 No.11 & 12, Jl. Alternatif Cibubur KM 3, Kel. Jatikarya, Kec. Jatisampurna, Kota Bekasi",17435,08.30 - 14.30,(021) 84592489<br />(021) 84302667,(021) 84597922,,y,kantor,https://goo.gl/maps/6NqLePq3mb22
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tajur,Bogor,"Jl. Raya Tajur No. 65 D, Bogor",16141,08.30 - 14.30,(0251) 8392485,(0251) 8392486,,y,kantor,https://goo.gl/maps/2qgxRw3rTQp
12-Jabodetabek-ATM,Kantor Cabang,Bogor,Bogor,"Jl. Suryakencana No. 260 F, Kel. Gudang, Kec. Bogor Tengah, Kota Bogor
",16151,Beroperasi,(0251) 832 5256,(0251) 832 5307,,y,atm,https://goo.gl/maps/Nw2fDFpZq2D2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Dewi Sartika,Bogor,"Jl. Dewi Sartika No. 54, RT.03/RW.02, Kel. Pabaton, Kec. Bogor Tengah, Bogor",16121,Beroperasi,(0251) 8311836<br />(0251) 8314257,(0251) 8314933,,y,atm,https://goo.gl/maps/bov5bBPeYjM2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Cibubur,Bogor,"Ruko Cibubur Times Square Blok B-1 No.11 & 12, Jl. Alternatif Cibubur KM 3, Kel. Jatikarya, Kec. Jatisampurna, Kota Bekasi",17435,Beroperasi,(021) 84592489<br />(021) 84302667,(021) 84597922,,y,atm,https://goo.gl/maps/6NqLePq3mb22
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Tajur,Bogor,"Jl. Raya Tajur No. 65 D, Bogor",16141,Beroperasi,(0251) 8392485,(0251) 8392486,,y,atm,https://goo.gl/maps/2qgxRw3rTQp
12-Jawa Barat-Kantor Cabang,Kantor Cabang,Cirebon,Cirebon,"Jl. Yos Sudarso No. 29, Cirebon",45111,08.30 - 14.30,(0231) 205040<br />(0231) 206959<br />(0231) 206396<br />(0231) 221541,"(0231) 201989
(0231) 248340",28029,y,kantor,https://goo.gl/maps/DeLwAgyBVtP2
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kuningan ,Cirebon,"Jl. Jend. Sudirman No. 51/55, Kuningan",45511,08.30 - 14.30,(0232) 871738<br />(0232) 871810,(0232) 876641,,y,kantor,https://goo.gl/maps/Fu7nrUdQ1tC2
12-Jawa Barat-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pasar Balong Pekiringan,Cirebon,Jl. Pekiringan No. 113,45117,08.30 - 14.30,(0231) 205625,(0231) 211423,,n,kantor,https://goo.gl/maps/MpMvxWuu82p
12-Jawa Barat-ATM,Kantor Cabang,Cirebon,Cirebon,"Jl. Yos Sudarso No. 29, Cirebon",45111,Beroperasi,(0231) 205040<br />(0231) 206959<br />(0231) 206396<br />(0231) 221541,"(0231) 201989
(0231) 248340",28029,y,atm,https://goo.gl/maps/DeLwAgyBVtP2
12-Jawa Barat-ATM,Kantor Cabang Pembantu,Kuningan ,Cirebon,"Jl. Jend. Sudirman No. 51/55, Kuningan",45511,Beroperasi,(0232) 871738<br />(0232) 871810,(0232) 876641,,y,atm,https://goo.gl/maps/Fu7nrUdQ1tC2
12-Bali-Kantor Cabang,Kantor Cabang,Denpasar,Denpasar,"Jl. Dr. Wahidin No. 39, Denpasar",0,08.30 - 14.30,(0361) 433014,(0361) 424245,,y,kantor,https://goo.gl/maps/5TnnFe1FEqo
12-Bali-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tabanan,Denpasar,"Jl. Gajah Mada No. 80, Tabanan",82113,08.30 - 14.30,(0361) 811588<br />(0361) 811277,(0361) 812569 ,,y,kantor,https://goo.gl/maps/TjiGX6jFouB2
12-Bali-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kuta,Denpasar,"Kompleks Ruko Istana Kuta Galeria Blok Valet No.12 & 12 A, Jl. Patih Jelantik, Kuta, Badung, Bali",80361,08.30 - 14.30,(0361) 769 100,(0361) 769 256,,y,kantor,https://goo.gl/maps/BLn5otwUhKn
12-Bali-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Gatot Subroto,Denpasar,"Jl. Gatot Subroto No. 100 X, Kav. 10, Denpasar",80111,08.30 - 14.30,(0361) 7450714<br />(0361) 7450175<br />(0361) 7427697,(0361) 248826,,y,kantor,https://goo.gl/maps/1YG4LNPtnJ62
12-Bali-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Diponegoro,Denpasar,"Jl. Diponegoro No. 150 Blok A 1 No. 2, Denpasar",80114,08.30 - 14.30,(0361) 262773<br />(0361) 263719<br />(0361) 263720,(0361) 247246,,y,kantor,https://goo.gl/maps/ZEPaVxZVqou
12-Bali-ATM,Kantor Cabang,Denpasar,Denpasar,"Jl. Dr. Wahidin No. 39, Denpasar",0,Beroperasi,(0361) 433014,(0361) 424245,,y,atm,https://goo.gl/maps/5TnnFe1FEqo
12-Bali-ATM,Kantor Cabang Pembantu,Tabanan,Denpasar,"Jl. Gajah Mada No. 80, Tabanan",82113,Beroperasi,(0361) 811588<br />(0361) 811277,(0361) 812569 ,,y,atm,https://goo.gl/maps/TjiGX6jFouB2
12-Bali-ATM,Kantor Cabang Pembantu,Kuta,Denpasar,"Kompleks Ruko Istana Kuta Galeria Blok Valet No.12 & 12 A, Jl. Patih Jelantik, Kuta, Badung, Bali",80361,Beroperasi,(0361) 769 100,(0361) 769 256,,y,atm,https://goo.gl/maps/BLn5otwUhKn
12-Bali-ATM,Kantor Cabang Pembantu,Gatot Subroto,Denpasar,"Jl. Gatot Subroto No. 100 X, Kav. 10, Denpasar",80111,Beroperasi,(0361) 7450714<br />(0361) 7450175<br />(0361) 7427697,(0361) 248826,,y,atm,https://goo.gl/maps/1YG4LNPtnJ62
12-Bali-ATM,Kantor Cabang Pembantu,Diponegoro,Denpasar,"Jl. Diponegoro No. 150 Blok A 1 No. 2, Denpasar",80114,Beroperasi,(0361) 262773<br />(0361) 263719<br />(0361) 263720,(0361) 247246,,y,atm,https://goo.gl/maps/ZEPaVxZVqou
12-Bali-Kantor Cabang,Kantor Cabang,Denpasar Bali Renon,Denpasar Bali Renon,"Jl. Raya Puputan Komplek Pertokoan Niti Mandala Raya No.17, Renon, Denpasar",80235,08.30 - 14.30,(0361) 241888,(0361) 245978,,y,kantor,https://goo.gl/maps/7VyuzJwcNYC2
12-Bali-ATM,Kantor Cabang,Denpasar Bali Renon,Denpasar Bali Renon,"Jl. Raya Puputan Komplek Pertokoan Niti Mandala Raya No.17, Renon, Denpasar",80235,Beroperasi,(0361) 241888,(0361) 245978,,y,atm,https://goo.gl/maps/7VyuzJwcNYC2
12-Jabodetabek-Kantor Cabang,Kantor Cabang,Gajah Mada,Gajah Mada (d/h : Asemka),"Jl. Gajah Mada No.87-87A, Kel. Krukut, Kec. Taman Sari, Jakarta Barat
",11140,08.30 - 14.30,(021) 6329779,(021) 632 9696<br />(021) 632 9766<br />(021) 632 9966<br />(021) 632 9906,,y,kantor,https://goo.gl/maps/d8F5FQEYgS62
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Glodok Plaza,Gajah Mada (d/h : Asemka),"Komp. Glodok Plaza Blok F No. 1-2, Jl. Pinangsia Raya",11110,08.30 - 14.30,(021) 6595026 <br />(021) 6596745<br />(021) 6280943-44,(021) 6280944,,y,kantor,https://goo.gl/maps/VGJbFqqdJ7F2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pluit,Gajah Mada (d/h : Asemka),Jl. Pluit Kencana Raya No. 76,14450,08.30 - 14.30,(021) 6611770 - 71,(021) 6691163,,y,kantor,https://goo.gl/maps/hyKSezpxZw32
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Petak Baru,Gajah Mada (d/h : Asemka),Jl. Petak Baru No. 25-26,11230,08.30 - 14.30,(021) 6922115<br />(021) 6922432<br />(021) 6912224<br />(021) 6924069<br />(021) 6901756-57<br />(021) 6917410-11,(021) 6928086,,y,kantor,https://goo.gl/maps/aYkZUkzuyhu
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Mangga Dua ,Gajah Mada (d/h : Asemka),"Pusat Grosir Pasar Pagi Mangga Dua Lt. III, Blok BC 011,012,012 A & 014, Jl. Mangga Dua Raya",11110,08.30 - 14.30,(021) 6255661<br />(021) 6127340,(021) 6127341 ,,y,kantor,https://goo.gl/maps/Tv1X75w85iz
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Mangga Dua Plaza ,Gajah Mada (d/h : Asemka),Mangga Dua Plaza Blok F No. 5 Jl. Mangga Dua Raya,11110,08.30 - 14.30,(021) 6120086<br />(021) 6120912<br />(021) 6129128<br />(021) 6129129,(021) 6129130,,y,kantor,https://goo.gl/maps/AMcxFasuQ2k
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Jembatan Dua,Gajah Mada (d/h : Asemka),Jl. Jembatan Dua No. 139 A,14450,08.30 - 14.30,(021) 6631760<br />(021) 6631761 - 62,(021) 6610615,,y,kantor,https://goo.gl/maps/X2nqZAV9f382
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Muara Karang ,Gajah Mada (d/h : Asemka),"Jl. Muara Karang No. 1, RT. 019/RW. 02, Kav. Blok Y3 Barat No. 10",14450,08.30 - 14.30,(021) 6625967-69<br />(021) 6601048,(021) 6606171 ,,y,kantor,https://goo.gl/maps/Q1orC4QQNFJ2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pluit Village,Gajah Mada (d/h : Asemka),"Pluit Village MG 8-9, Taman Tirta Loka, Jl. Pluit Permai Raya",14450,08.30 - 14.30,(021) 6683682,(021) 6683692,,y,kantor,https://goo.gl/maps/1XsrHuUyq3F2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pantai Indah Kapuk,Gajah Mada (d/h : Asemka),"Rukan Exclusive Blok A No.27, Jl. Marina Raya, Kel. Kamal Muara, Kec. Penjaringan",14470,08.30 - 14.30,(021) 5694 6227,(021) 5694 6227,,y,kantor,https://goo.gl/maps/zAAKEaHxyM72
12-Jabodetabek-ATM,Kantor Cabang,Gajah Mada,Gajah Mada (d/h : Asemka),"Jl. Gajah Mada No.87-87A, Kel. Krukut, Kec. Taman Sari, Jakarta Barat
",11140,Beroperasi,(021) 6329779,(021) 632 9696<br />(021) 632 9766<br />(021) 632 9966<br />(021) 632 9906,,y,atm,https://goo.gl/maps/d8F5FQEYgS62
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Glodok Plaza,Gajah Mada (d/h : Asemka),"Komp. Glodok Plaza Blok F No. 1-2, Jl. Pinangsia Raya",11110,Beroperasi,(021) 6595026 <br />(021) 6596745<br />(021) 6280943-44,(021) 6280944,,y,atm,https://goo.gl/maps/VGJbFqqdJ7F2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Pluit,Gajah Mada (d/h : Asemka),Jl. Pluit Kencana Raya No. 76,14450,Beroperasi,(021) 6611770 - 71,(021) 6691163,,y,atm,https://goo.gl/maps/hyKSezpxZw32
